gender,married,dependents,self_employed,applicantincome,coapplicantincome,loanamount,loan_amount_term,credit_history,property_area,loan_status
male,yes,nil,no,medium_high,medium_low,medium_high,medium_long_term,1.0,urban,y
male,no,0,no,low,medium_low,medium_high,medium_long_term,1.0,semiurban,y
male,no,0,no,high,medium_high,medium_high,nil,1.0,urban,y
male,yes,3,yes,high,low,medium_high,medium_long_term,1.0,semiurban,y
male,yes,1,no,low,medium_low,medium_high,medium_long_term,1.0,urban,y
nil,yes,3,no,medium_low,low,medium_high,medium_long_term,1.0,semiurban,y
male,yes,1,no,medium_low,medium_high,medium_high,medium_long_term,1.0,semiurban,y
male,yes,2,no,medium_high,low,low,medium_short_term,1.0,urban,y
male,yes,0,yes,medium_high,null,medium_low,medium_long_term,1.0,urban,y
male,no,0,no,low,null,medium_high,medium_long_term,0.0,urban,n
female,no,0,no,medium_high,null,medium_high,medium_long_term,1.0,rural,y
male,yes,2,no,medium_low,medium_high,medium_high,medium_short_term,1.0,semiurban,y
female,yes,2,no,low,medium_high,medium_high,medium_long_term,0.0,semiurban,n
male,yes,3,no,medium_high,null,medium_low,medium_short_term,1.0,semiurban,y
male,yes,0,no,low,medium_low,medium_high,medium_long_term,1.0,semiurban,y
male,yes,0,yes,high,low,medium_high,medium_long_term,1.0,urban,y
female,no,2,no,medium_high,null,medium_high,medium_long_term,1.0,semiurban,y
female,no,0,no,low,medium_low,medium_high,medium_long_term,0.0,rural,n
male,yes,3,no,medium_high,null,medium_high,medium_long_term,1.0,urban,y
male,yes,0,no,medium_low,medium_high,medium_high,medium_long_term,1.0,semiurban,y
male,yes,0,no,medium_high,null,medium_high,medium_long_term,0.0,semiurban,n
male,yes,0,no,medium_low,null,medium_high,medium_long_term,0.0,semiurban,n
male,yes,0,no,high,null,medium_high,medium_long_term,1.0,semiurban,y
male,yes,0,no,low,medium_high,medium_high,medium_long_term,0.0,rural,n
female,no,nil,no,medium_low,null,medium_low,medium_long_term,1.0,semiurban,y
male,no,0,no,medium_high,null,medium_low,medium_long_term,1.0,semiurban,y
male,yes,1,nil,medium_high,medium_low,medium_high,short_term,1.0,urban,y
male,yes,0,yes,medium_high,medium_low,high,medium_long_term,1.0,rural,y
male,yes,0,no,medium_high,medium_high,medium_high,medium_long_term,1.0,semiurban,y
male,no,0,no,medium_low,medium_high,medium_high,medium_long_term,1.0,urban,y
male,yes,0,no,medium_low,medium_low,medium_high,medium_long_term,1.0,urban,y
male,no,0,yes,high,null,low,medium_long_term,1.0,rural,y
male,yes,1,no,medium_low,medium_high,nil,medium_long_term,1.0,semiurban,y
female,yes,0,no,high,null,medium_high,medium_long_term,1.0,urban,y
male,yes,3,no,medium_high,low,medium_high,medium_long_term,0.0,urban,n
male,yes,3,no,high,null,high,medium_long_term,1.0,urban,n
male,yes,2,no,medium_high,null,medium_high,long_term,0.0,rural,n
male,yes,0,no,high,null,high,medium_long_term,1.0,rural,y
male,yes,0,no,medium_high,null,medium_high,medium_short_term,0.0,semiurban,n
male,yes,2,no,medium_high,medium_high,medium_high,medium_short_term,1.0,rural,y
male,yes,0,no,medium_low,medium_low,medium_high,medium_long_term,1.0,urban,y
male,no,0,no,medium_low,null,medium_low,medium_long_term,1.0,semiurban,y
male,no,2,no,medium_low,medium_low,medium_low,medium_long_term,1.0,semiurban,y
female,no,0,nil,medium_high,null,medium_high,medium_long_term,1.0,rural,y
male,yes,0,yes,medium_low,medium_low,medium_high,medium_long_term,nil,rural,y
male,yes,3,no,high,null,high,medium_long_term,1.0,rural,y
male,yes,1,no,medium_high,medium_high,medium_high,medium_long_term,1.0,semiurban,y
male,yes,2,no,medium_high,medium_low,medium_low,medium_long_term,1.0,semiurban,y
male,yes,1,no,medium_high,medium_low,medium_high,medium_long_term,0.0,semiurban,n
female,yes,3,no,high,null,medium_high,medium_long_term,1.0,semiurban,y
male,yes,1,no,medium_low,medium_high,high,medium_long_term,1.0,urban,y
male,yes,0,no,medium_low,medium_high,medium_high,medium_long_term,1.0,semiurban,y
male,yes,3,no,high,null,medium_low,medium_long_term,1.0,urban,y
male,yes,3,no,high,null,medium_high,medium_long_term,nil,semiurban,y
male,no,0,no,medium_high,null,medium_high,medium_long_term,1.0,rural,y
female,yes,0,no,low,null,nil,long_term,0.0,semiurban,n
male,yes,1,no,medium_high,null,medium_high,medium_long_term,1.0,urban,y
male,yes,2,no,low,null,low,medium_short_term,1.0,rural,y
male,no,0,no,low,medium_low,medium_high,medium_long_term,nil,semiurban,y
female,yes,0,no,medium_low,medium_low,medium_high,medium_long_term,1.0,semiurban,y
nil,no,0,no,low,medium_low,medium_high,medium_long_term,0.0,urban,n
male,yes,3,no,medium_high,null,medium_high,medium_long_term,1.0,rural,y
male,yes,0,no,medium_high,null,medium_high,medium_long_term,1.0,semiurban,y
male,yes,0,no,medium_high,medium_low,medium_high,medium_long_term,1.0,urban,y
female,no,0,yes,medium_high,null,medium_high,medium_long_term,1.0,semiurban,n
male,yes,nil,no,medium_high,null,medium_low,medium_long_term,1.0,semiurban,y
female,no,0,no,medium_low,null,medium_high,medium_long_term,1.0,urban,y
female,yes,2,no,medium_low,medium_high,medium_high,medium_long_term,1.0,semiurban,y
male,yes,0,no,medium_high,medium_high,medium_high,medium_long_term,1.0,rural,y
male,no,3,no,medium_high,medium_high,medium_high,medium_long_term,nil,semiurban,y
female,no,0,no,low,medium_low,medium_high,medium_long_term,1.0,semiurban,n
male,yes,1,no,low,medium_high,medium_low,nil,0.0,rural,n
female,no,0,no,low,medium_high,medium_high,medium_long_term,0.0,urban,n
male,yes,2,no,low,medium_high,high,medium_long_term,0.0,rural,n
male,no,0,no,medium_low,null,medium_low,medium_long_term,1.0,urban,y
male,yes,0,no,low,medium_high,medium_high,medium_long_term,1.0,rural,y
male,yes,3,no,medium_low,medium_low,medium_high,medium_long_term,1.0,urban,y
male,no,0,no,low,medium_high,medium_high,medium_long_term,0.0,rural,n
female,no,0,no,high,null,high,medium_long_term,0.0,urban,n
male,no,0,no,medium_high,null,medium_high,medium_long_term,1.0,semiurban,y
male,no,0,no,high,null,medium_low,medium_long_term,0.0,urban,n
male,yes,2,no,high,null,high,medium_long_term,1.0,urban,y
male,no,0,no,medium_low,null,medium_low,medium_short_term,1.0,urban,y
male,yes,1,no,medium_low,medium_low,medium_low,nil,1.0,semiurban,y
male,yes,0,no,medium_low,medium_low,medium_high,medium_long_term,1.0,urban,y
male,no,0,no,medium_low,null,medium_high,medium_long_term,1.0,rural,y
male,yes,1,yes,medium_low,medium_low,medium_high,medium_long_term,1.0,rural,y
female,no,1,no,medium_low,null,medium_low,medium_long_term,1.0,urban,n
male,no,0,no,medium_high,null,medium_low,medium_short_term,1.0,urban,y
male,yes,0,no,medium_high,null,medium_high,medium_long_term,1.0,urban,y
male,yes,2,no,medium_high,null,medium_high,medium_long_term,1.0,rural,y
male,yes,1,no,low,medium_high,medium_high,medium_long_term,1.0,rural,y
nil,no,nil,no,medium_low,medium_low,medium_high,medium_long_term,1.0,semiurban,y
female,no,3,no,medium_high,null,medium_high,medium_long_term,nil,semiurban,y
male,no,0,no,medium_high,null,medium_high,medium_long_term,0.0,rural,n
male,yes,3,no,medium_low,medium_high,medium_low,medium_long_term,1.0,rural,y
male,yes,3,nil,high,low,medium_high,medium_long_term,0.0,urban,n
male,yes,0,yes,high,null,very_high,medium_long_term,nil,semiurban,y
male,yes,2,yes,high,null,high,short_term,1.0,rural,n
female,no,0,no,high,null,medium_high,medium_long_term,1.0,urban,y
male,no,0,no,medium_low,null,medium_low,medium_long_term,1.0,semiurban,y
male,no,0,yes,high,null,medium_high,medium_long_term,0.0,rural,n
male,yes,1,no,medium_high,low,medium_high,medium_long_term,1.0,semiurban,y
male,no,0,no,high,null,medium_high,medium_long_term,1.0,urban,y
male,no,0,no,medium_low,medium_high,medium_high,medium_long_term,1.0,urban,y
male,yes,0,no,low,medium_low,medium_high,medium_long_term,1.0,urban,y
male,no,0,no,medium_high,null,medium_high,medium_long_term,1.0,rural,y
male,yes,1,no,low,medium_low,medium_high,medium_long_term,0.0,urban,n
male,yes,2,no,medium_high,null,medium_low,medium_long_term,1.0,rural,y
male,no,0,yes,low,medium_high,medium_high,medium_long_term,1.0,semiurban,y
male,yes,2,yes,medium_high,medium_high,high,medium_long_term,1.0,urban,y
male,yes,0,no,medium_high,medium_low,medium_high,medium_long_term,1.0,rural,n
male,no,1,no,high,medium_high,medium_high,medium_long_term,1.0,semiurban,y
male,yes,0,no,high,null,medium_high,medium_long_term,1.0,rural,y
male,no,0,no,medium_high,medium_high,high,medium_long_term,1.0,rural,y
male,no,0,nil,medium_low,null,medium_low,medium_long_term,0.0,semiurban,n
male,no,0,no,medium_high,null,medium_high,medium_long_term,1.0,urban,y
female,no,0,no,low,null,medium_low,medium_long_term,1.0,rural,n
male,no,1,no,medium_low,medium_low,medium_low,medium_long_term,nil,rural,y
male,no,0,no,low,null,medium_high,medium_long_term,0.0,semiurban,n
male,no,2,no,low,medium_low,medium_high,medium_long_term,0.0,urban,n
male,yes,0,no,medium_low,medium_high,medium_high,medium_long_term,1.0,urban,y
female,yes,3,nil,low,medium_high,medium_low,medium_long_term,0.0,semiurban,n
female,yes,1,no,medium_low,null,medium_low,medium_long_term,1.0,rural,n
female,no,0,no,medium_high,null,medium_high,medium_long_term,1.0,rural,y
male,yes,2,no,medium_high,null,medium_high,medium_long_term,1.0,rural,y
male,yes,0,no,medium_high,null,medium_high,medium_long_term,1.0,rural,y
male,no,0,no,medium_low,medium_high,medium_high,medium_short_term,0.0,urban,n
male,yes,0,no,low,medium_low,medium_high,medium_long_term,0.0,rural,n
male,yes,2,nil,medium_high,medium_high,medium_high,medium_long_term,1.0,rural,y
male,yes,2,no,low,medium_high,medium_high,medium_long_term,1.0,urban,y
female,no,0,no,medium_low,null,medium_low,medium_long_term,nil,rural,y
male,yes,2,no,medium_high,null,medium_high,medium_long_term,1.0,rural,y
male,yes,3,no,high,null,medium_high,medium_long_term,nil,urban,y
male,yes,2,no,medium_high,medium_high,medium_high,medium_long_term,1.0,semiurban,y
male,yes,0,no,medium_high,medium_high,medium_high,medium_long_term,1.0,semiurban,y
male,yes,2,no,medium_high,null,medium_high,medium_long_term,1.0,urban,y
female,yes,1,no,medium_high,medium_high,medium_high,medium_long_term,1.0,rural,n
male,yes,3,no,high,low,medium_high,nil,1.0,urban,y
male,yes,0,no,medium_high,null,medium_high,medium_long_term,nil,semiurban,y
male,yes,2,no,medium_high,low,medium_high,medium_long_term,1.0,semiurban,y
male,yes,2,no,high,null,high,medium_long_term,1.0,semiurban,y
male,yes,0,no,high,null,nil,medium_long_term,1.0,rural,y
male,yes,2,no,high,medium_high,high,medium_long_term,1.0,rural,y
female,yes,1,no,medium_high,null,medium_high,medium_short_term,1.0,rural,n
male,no,0,no,medium_high,null,medium_low,medium_long_term,1.0,urban,y
male,yes,2,nil,medium_low,medium_high,medium_high,medium_long_term,0.0,rural,n
male,yes,3,no,low,medium_low,medium_high,medium_long_term,0.0,rural,n
male,yes,1,no,high,medium_high,very_high,medium_long_term,1.0,semiurban,y
male,no,0,yes,high,null,medium_high,medium_long_term,1.0,urban,y
male,yes,1,no,medium_high,null,medium_high,medium_long_term,0.0,semiurban,n
male,yes,0,no,low,medium_low,medium_high,medium_long_term,1.0,rural,n
male,yes,2,no,low,low,medium_high,medium_long_term,0.0,urban,n
male,yes,0,yes,low,medium_low,medium_low,medium_long_term,1.0,rural,y
male,yes,0,yes,high,null,medium_high,long_term,1.0,rural,y
male,yes,3,no,low,low,medium_low,medium_long_term,1.0,urban,y
male,yes,nil,no,medium_low,medium_low,medium_low,medium_long_term,nil,urban,y
female,yes,0,no,medium_low,medium_low,medium_high,medium_long_term,1.0,semiurban,y
female,no,0,no,low,low,medium_low,medium_long_term,1.0,semiurban,y
male,yes,0,no,low,medium_high,medium_high,medium_long_term,1.0,semiurban,y
male,yes,1,no,medium_high,medium_high,medium_high,medium_long_term,1.0,semiurban,y
male,yes,1,no,medium_low,low,medium_high,medium_long_term,1.0,semiurban,y
female,no,0,no,medium_high,null,medium_low,medium_long_term,1.0,urban,y
nil,no,1,no,low,medium_high,medium_low,medium_long_term,1.0,rural,y
female,no,0,no,low,null,medium_low,medium_long_term,1.0,urban,y
male,no,0,no,medium_high,medium_low,medium_high,medium_long_term,0.0,rural,n
male,yes,3,yes,medium_high,null,medium_high,medium_long_term,1.0,semiurban,y
male,no,0,no,medium_high,null,medium_high,medium_long_term,1.0,rural,y
male,yes,0,no,medium_low,medium_high,medium_high,nil,1.0,rural,y
male,yes,0,no,medium_low,medium_low,medium_high,medium_long_term,1.0,urban,y
male,yes,0,no,low,medium_high,medium_high,short_term,1.0,semiurban,y
male,yes,0,no,high,medium_low,high,medium_long_term,1.0,rural,y
male,yes,1,yes,medium_low,medium_high,high,medium_long_term,1.0,rural,n
male,yes,1,no,medium_low,medium_low,medium_high,medium_long_term,1.0,urban,y
male,yes,0,no,low,medium_low,medium_high,medium_long_term,nil,urban,y
male,yes,0,no,medium_low,medium_low,medium_high,medium_long_term,1.0,rural,y
male,yes,2,no,medium_low,null,medium_low,long_term,1.0,urban,y
female,no,1,no,medium_high,null,medium_high,medium_long_term,1.0,rural,y
female,no,2,yes,medium_high,null,medium_high,medium_long_term,0.0,semiurban,n
female,no,0,no,low,null,medium_low,medium_long_term,1.0,urban,y
male,yes,0,no,low,medium_low,medium_high,medium_long_term,1.0,urban,y
male,yes,1,no,medium_low,medium_high,medium_high,medium_long_term,1.0,rural,y
male,no,0,no,low,medium_high,medium_high,medium_long_term,1.0,rural,y
male,yes,3,no,medium_high,null,medium_high,medium_long_term,0.0,urban,n
male,no,0,no,high,medium_high,medium_high,medium_long_term,1.0,semiurban,y
nil,no,0,yes,low,medium_high,medium_high,medium_long_term,1.0,urban,y
male,yes,0,no,low,medium_low,low,medium_short_term,1.0,rural,y
female,no,1,no,high,null,medium_low,medium_long_term,1.0,semiurban,y
female,yes,0,no,low,medium_low,medium_high,medium_long_term,1.0,urban,y
male,no,0,no,low,medium_high,medium_high,medium_long_term,0.0,urban,n
female,no,0,no,low,medium_high,medium_high,medium_long_term,0.0,semiurban,n
male,yes,2,no,high,medium_high,medium_high,medium_long_term,1.0,rural,y
male,yes,2,no,low,low,medium_high,medium_long_term,1.0,semiurban,y
male,no,0,no,medium_high,null,medium_low,long_term,1.0,urban,n
male,no,0,no,medium_high,null,medium_high,medium_long_term,1.0,urban,y
male,yes,0,no,medium_high,medium_low,medium_high,medium_long_term,0.0,semiurban,n
male,yes,0,no,medium_low,low,medium_high,medium_long_term,1.0,semiurban,y
male,yes,0,nil,low,medium_low,medium_high,medium_long_term,0.0,rural,n
female,no,0,no,low,null,medium_low,medium_long_term,1.0,semiurban,y
nil,yes,0,no,medium_low,medium_high,medium_high,medium_short_term,0.0,semiurban,n
male,yes,2,yes,medium_high,medium_low,medium_high,medium_long_term,1.0,urban,y
male,yes,nil,no,high,null,nil,medium_long_term,1.0,urban,y
male,yes,0,yes,medium_high,null,medium_low,medium_long_term,1.0,semiurban,y
male,no,0,no,medium_low,null,low,medium_short_term,1.0,rural,y
male,yes,3,no,medium_low,low,medium_high,long_term,0.0,urban,n
male,yes,nil,no,medium_high,null,medium_low,medium_long_term,1.0,semiurban,y
female,no,1,no,medium_high,null,medium_high,medium_long_term,1.0,semiurban,y
male,yes,2,no,medium_high,low,medium_high,medium_long_term,1.0,urban,y
female,yes,1,no,medium_low,medium_low,medium_high,medium_long_term,1.0,urban,y
male,no,0,nil,low,null,medium_high,medium_long_term,0.0,rural,n
female,yes,0,no,medium_high,null,medium_low,medium_long_term,1.0,rural,y
male,yes,0,no,medium_low,medium_high,medium_high,medium_long_term,1.0,urban,y
male,yes,0,no,medium_low,medium_high,medium_high,medium_long_term,1.0,rural,y
female,no,1,nil,low,medium_high,medium_low,medium_long_term,nil,rural,y
male,yes,3,no,low,medium_high,medium_high,medium_long_term,1.0,semiurban,y
male,yes,0,no,medium_low,medium_low,medium_high,medium_long_term,1.0,semiurban,y
male,no,0,no,medium_low,low,medium_low,medium_long_term,nil,rural,y
male,yes,1,no,high,null,medium_high,medium_long_term,1.0,rural,y
male,yes,2,no,medium_low,low,medium_high,medium_long_term,1.0,rural,y
male,no,nil,no,medium_low,medium_high,medium_high,medium_long_term,nil,semiurban,y
female,yes,1,no,medium_high,medium_low,medium_high,long_term,0.0,urban,n
female,no,1,no,medium_high,medium_high,medium_high,medium_long_term,1.0,rural,y
male,yes,2,no,high,low,low,medium_long_term,0.0,rural,n
male,no,0,no,medium_low,null,medium_low,medium_long_term,1.0,rural,y
female,yes,3,no,low,medium_high,medium_low,medium_long_term,1.0,urban,y
female,no,0,yes,medium_low,medium_high,high,medium_long_term,1.0,rural,n
male,no,1,no,high,null,high,medium_long_term,1.0,semiurban,n
male,yes,2,no,medium_high,low,medium_high,medium_long_term,0.0,semiurban,n
female,no,0,no,medium_low,null,medium_low,medium_long_term,0.0,semiurban,n
male,yes,3,no,low,medium_low,medium_high,medium_long_term,1.0,semiurban,y
male,yes,0,nil,high,null,medium_high,medium_long_term,1.0,urban,y
female,no,0,no,medium_high,null,medium_high,medium_short_term,1.0,semiurban,n
male,yes,3,nil,medium_low,low,medium_high,medium_long_term,0.0,semiurban,n
nil,no,0,no,high,null,medium_high,medium_long_term,1.0,semiurban,n
male,no,0,no,low,medium_low,medium_high,medium_long_term,1.0,semiurban,y
male,yes,0,no,medium_high,null,medium_high,medium_long_term,1.0,rural,y
female,no,0,no,medium_high,null,medium_high,medium_long_term,nil,urban,y
male,no,0,no,high,null,medium_high,medium_long_term,1.0,rural,n
female,yes,2,no,high,medium_high,very_high,medium_long_term,1.0,urban,y
male,yes,1,nil,high,null,high,medium_long_term,1.0,urban,y
male,yes,0,no,low,medium_high,medium_high,medium_long_term,nil,rural,y
male,no,0,nil,low,medium_high,medium_high,medium_long_term,1.0,rural,y
male,no,0,no,medium_high,null,medium_high,medium_long_term,1.0,urban,y
male,yes,1,no,high,medium_high,nil,medium_long_term,1.0,urban,y
male,yes,0,no,medium_low,medium_low,medium_high,medium_long_term,1.0,semiurban,y
male,yes,2,no,medium_low,medium_high,medium_high,medium_long_term,1.0,urban,y
male,no,0,no,medium_low,null,medium_low,medium_long_term,1.0,rural,y
female,yes,0,no,low,medium_low,medium_low,medium_long_term,0.0,urban,n
male,yes,1,nil,low,medium_high,medium_high,medium_long_term,1.0,urban,y
female,yes,0,no,low,null,medium_low,long_term,1.0,semiurban,n
nil,no,0,no,high,null,medium_high,medium_long_term,1.0,semiurban,y
male,no,0,nil,medium_low,null,medium_low,medium_long_term,1.0,rural,y
female,yes,2,no,medium_low,null,medium_high,medium_long_term,1.0,semiurban,y
male,yes,2,no,medium_high,null,medium_high,medium_long_term,1.0,rural,y
male,yes,1,yes,high,null,medium_low,medium_long_term,1.0,urban,y
male,yes,1,nil,high,null,medium_high,medium_long_term,0.0,urban,n
female,no,nil,yes,high,null,medium_high,medium_long_term,1.0,rural,n
nil,yes,1,yes,low,medium_low,medium_low,medium_long_term,1.0,rural,y
male,yes,0,no,low,low,medium_low,medium_long_term,1.0,semiurban,y
male,no,2,no,low,low,medium_high,medium_long_term,nil,semiurban,y
male,yes,2,yes,high,null,medium_high,medium_long_term,1.0,rural,y
male,yes,2,no,medium_high,null,medium_high,medium_long_term,1.0,rural,y
male,yes,1,no,high,null,medium_high,medium_long_term,1.0,rural,y
male,yes,0,no,medium_low,medium_high,medium_high,medium_long_term,1.0,semiurban,y
male,no,0,no,medium_high,null,medium_high,medium_long_term,1.0,urban,y
female,no,3,no,low,medium_high,medium_high,medium_long_term,0.0,rural,n
male,no,nil,no,low,medium_low,medium_high,medium_short_term,1.0,urban,y
male,yes,2,no,medium_high,null,medium_high,medium_long_term,1.0,rural,y
female,no,0,no,medium_low,null,medium_high,medium_long_term,1.0,urban,y
female,yes,0,no,high,low,medium_high,medium_short_term,1.0,semiurban,y
female,yes,0,no,medium_high,null,medium_high,medium_long_term,1.0,rural,y
male,yes,0,no,low,medium_high,medium_low,medium_long_term,0.0,urban,n
nil,no,0,no,medium_high,null,medium_high,medium_long_term,1.0,rural,y
male,no,0,no,medium_low,medium_high,medium_high,medium_long_term,1.0,urban,y
male,yes,1,no,low,medium_low,medium_high,medium_long_term,1.0,rural,y
female,yes,0,no,low,medium_low,medium_high,medium_long_term,1.0,urban,y
male,yes,3,no,medium_low,null,medium_low,medium_short_term,1.0,urban,y
male,no,1,nil,high,medium_high,medium_low,medium_long_term,1.0,semiurban,y
male,yes,0,no,medium_high,null,medium_low,medium_long_term,1.0,rural,y
male,no,0,no,low,medium_high,medium_low,short_term,0.0,semiurban,n
male,yes,1,nil,low,low,medium_high,medium_long_term,1.0,semiurban,y
male,yes,2,no,medium_high,low,medium_high,medium_long_term,1.0,urban,y
male,yes,3,yes,high,medium_low,medium_high,medium_long_term,1.0,rural,y
male,yes,1,no,medium_low,medium_low,medium_high,medium_long_term,nil,semiurban,y
male,yes,0,no,medium_high,null,medium_high,medium_long_term,1.0,rural,y
male,yes,3,no,high,null,high,medium_long_term,1.0,urban,y
female,yes,1,no,medium_low,medium_high,medium_high,medium_long_term,1.0,urban,y
female,yes,0,no,medium_high,null,medium_high,medium_long_term,1.0,semiurban,y
male,yes,0,no,low,medium_low,low,medium_long_term,1.0,semiurban,y
male,no,2,no,low,null,low,medium_long_term,1.0,urban,y
female,no,0,no,medium_low,medium_low,medium_high,medium_long_term,nil,urban,y
male,yes,0,no,low,medium_low,medium_high,medium_long_term,1.0,urban,y
male,yes,1,yes,low,medium_high,medium_low,medium_long_term,1.0,rural,y
female,no,0,no,medium_high,medium_low,medium_high,medium_long_term,0.0,rural,n
male,yes,0,yes,low,medium_high,medium_high,medium_short_term,1.0,semiurban,y
male,no,0,yes,medium_high,medium_high,medium_high,medium_long_term,1.0,rural,y
male,yes,3,no,medium_low,null,medium_low,medium_short_term,1.0,rural,y
male,yes,1,no,medium_high,null,medium_low,medium_long_term,1.0,urban,n
male,no,0,no,high,null,medium_high,medium_long_term,1.0,rural,y
male,yes,3,no,high,null,high,medium_long_term,1.0,urban,y
male,yes,0,no,medium_low,medium_low,medium_high,medium_long_term,0.0,rural,n
male,no,0,no,low,null,medium_low,medium_long_term,1.0,urban,y
male,yes,2,no,medium_low,medium_low,medium_high,medium_long_term,1.0,urban,y
male,yes,0,yes,low,low,medium_high,medium_long_term,1.0,rural,y
male,yes,2,no,high,null,high,medium_long_term,1.0,rural,y
male,no,0,no,low,medium_high,medium_high,medium_long_term,nil,rural,y
male,yes,0,no,high,low,medium_high,medium_long_term,1.0,urban,y
male,yes,0,no,medium_high,medium_high,medium_high,medium_long_term,1.0,rural,y
male,yes,3,no,medium_high,low,medium_high,medium_short_term,0.0,semiurban,n
male,yes,3,no,high,medium_low,medium_high,medium_long_term,1.0,urban,y
male,yes,1,no,medium_low,medium_low,medium_low,medium_long_term,1.0,urban,y
male,no,0,no,low,null,medium_low,medium_long_term,1.0,urban,y
male,yes,2,no,medium_low,null,medium_low,medium_long_term,nil,rural,y
male,no,0,no,medium_high,medium_high,medium_high,medium_long_term,1.0,semiurban,y
female,yes,0,no,high,medium_high,medium_low,medium_long_term,nil,urban,y
male,yes,1,no,low,medium_low,medium_low,medium_long_term,1.0,semiurban,y
male,yes,3,yes,medium_high,medium_low,medium_high,medium_long_term,1.0,urban,y
male,yes,0,no,medium_high,low,medium_high,medium_long_term,1.0,urban,y
male,no,0,no,medium_low,medium_low,medium_high,medium_long_term,nil,semiurban,y
male,yes,0,no,medium_high,medium_low,medium_high,medium_long_term,1.0,rural,y
male,no,0,yes,high,null,medium_low,medium_short_term,1.0,rural,y
